term	property		EN	ES	FR
I-AM-SO	rdf:type	http://www.w3.org/2004/02/skos/core#Concept			
I-AM-SO	skos:inScheme	http://purl.org/essglobal/standard/regions-ica/			
I-AM-SO	skos:prefLabel		South America	América del Sur	Amérique du sud
I-AP-CE	ossr:within	http://purl.org/essglobal/standard/super-regions-ica/I-AP			
I-AP-CE	rdf:type	http://www.w3.org/2004/02/skos/core#Concept			
I-AP-CE	skos:inScheme	http://purl.org/essglobal/standard/regions-ica/			
I-AP-CE	skos:prefLabel		Central Asia	Asia Central	Asie centrale
I-AP-EA	ossr:within	http://purl.org/essglobal/standard/super-regions-ica/I-AP			
I-AP-EA	rdf:type	http://www.w3.org/2004/02/skos/core#Concept			
I-AP-EA	skos:inScheme	http://purl.org/essglobal/standard/regions-ica/			
I-AP-EA	skos:prefLabel		East Asia	Asia Oriental	Asie de l’est
I-AP-ME	ossr:within	http://purl.org/essglobal/standard/super-regions-ica/I-AP			
I-AP-ME	rdf:type	http://www.w3.org/2004/02/skos/core#Concept			
I-AP-ME	skos:inScheme	http://purl.org/essglobal/standard/regions-ica/			
I-AP-ME	skos:prefLabel		Middle East	Oriente Medio	Moyen-Orient
I-AP-OC	ossr:within	http://purl.org/essglobal/standard/super-regions-ica/I-AP			
I-AP-OC	rdf:type	http://www.w3.org/2004/02/skos/core#Concept			
I-AP-OC	skos:inScheme	http://purl.org/essglobal/standard/regions-ica/			
I-AP-OC	skos:prefLabel		Oceania	Oceanía	Océanie
I-AP-SE	ossr:within	http://purl.org/essglobal/standard/super-regions-ica/I-AP			
I-AP-SE	rdf:type	http://www.w3.org/2004/02/skos/core#Concept			
I-AP-SE	skos:inScheme	http://purl.org/essglobal/standard/regions-ica/			
I-AP-SE	skos:prefLabel		South East Asia	Sudeste Asiático	Asie du sud-est
I-AP-SO	ossr:within	http://purl.org/essglobal/standard/super-regions-ica/I-AP			
I-AP-SO	rdf:type	http://www.w3.org/2004/02/skos/core#Concept			
I-AP-SO	skos:inScheme	http://purl.org/essglobal/standard/regions-ica/			
I-AP-SO	skos:prefLabel		South Asia	Asia del Sur	Asie du sud
I-EU-EA	ossr:within	http://purl.org/essglobal/standard/super-regions-ica/I-EU			
I-EU-EA	rdf:type	http://www.w3.org/2004/02/skos/core#Concept			
I-EU-EA	skos:inScheme	http://purl.org/essglobal/standard/regions-ica/			
I-EU-EA	skos:prefLabel		Europe (Eastern)	Europa (oriental)	Europe (est)
I-EU-WE	ossr:within	http://purl.org/essglobal/standard/super-regions-ica/I-EU			
I-EU-WE	rdf:type	http://www.w3.org/2004/02/skos/core#Concept			
I-EU-WE	skos:inScheme	http://purl.org/essglobal/standard/regions-ica/			
I-EU-WE	skos:prefLabel		Europe (Western)	Europa (occidental)	Europe (ouest)
